Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",1206,63,1N4148,
"H1, H2, H3, H4, H5, H6",MountingHole_2.2mm_M2_Pad,6,MountingHole_Pad,
J1,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Battery JST,
J2,power-switch_thts,1,External Power Switch,
J3,power-thts,1,Battery THT,
S1,STAB_MX_P_6.25u,1,MX_stab,
S2,STAB_MX_P_2u,1,MX_stab,
S3,STAB_MX_P_2.25u,1,MX_stab,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW17, SW18, SW19, SW2, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW33, SW34, SW35, SW36, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW64, SW65, SW66, SW67, SW7, SW8, SW9",SW_MX_HS_1u,57,MX_SW_HS,
"SW16, SW37",SW_MX_HS_1.75u,2,MX_SW_HS,
"SW20, SW4",SW_MX_1u,2,MX_SW_HS,
SW21,SW_MX_HS_1.25u,1,MX_SW_HS,
SW32,SW_MX_HS_1.5u,1,MX_SW_HS,
"SW60, SW61",SW_MX_HS_CPG151101S11_1.5u,2,MX_SW_HS,
SW62,SW_SPDT_PCM12,1,On-Board Power Switch,
SW63,SW_ResetSW,1,SW_Push,
U1,nice_nano_AH_USBup,1,nice_nano,
